Area_Code_Level2,Area_Name_Level2,Age 0-9,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70-79,Age 80 and over
503021042,Subiaco - Shenton Park,1789,1974,2852,3002,2470,2214,2034,1858,1133
407021156,Penola,314,390,247,326,391,502,474,377,148
401051018,Payneham - Felixstow,1375,1305,2002,2165,1610,1540,1300,1099,1197
404021100,North Haven,1532,1575,1774,1979,1778,2049,2237,1556,788
504021054,Swan View - Greenmount - Midvale,1519,1658,1776,1783,1713,1811,1617,1276,811
506031131,Willetton,2317,4034,2058,1995,3669,2438,1978,1563,649
407031165,Murray Bridge,2101,2256,2408,2484,2008,2408,2436,2026,1244
403031068,Colonel Light Gardens,1894,2002,1995,2115,2261,2055,1743,1195,737
401051017,Norwood (SA),881,1190,1957,1808,1422,1232,1365,1200,579
506071147,South Perth - Kensington,1619,1876,2879,2769,2321,2419,2210,1731,751
404021101,Port Adelaide,1171,1215,1621,1950,1538,1645,1545,971,522
511041291,Morawa,480,385,282,494,474,585,683,454,187
407031169,The Coorong,618,620,525,598,563,720,913,687,376
510021269,Port Hedland,726,442,552,1038,756,496,331,49,18
505031304,Landsdale,2880,2488,2074,2934,2636,1990,1236,518,208
602031099,Flinders and Cape Barren Islands,64,68,36,90,101,128,198,182,66
402021030,Elizabeth,1643,1576,1555,1517,1298,1255,1110,713,591
505021302,Dianella - South,1428,1331,1860,2274,1748,1725,1502,1179,1031
505021091,Osborne Park Industrial,15,15,93,88,31,15,11,8,5
507041184,Winthrop,581,908,779,617,776,845,909,696,281
401021004,Aldgate - Stirling,2117,2809,1435,1836,2620,2748,2460,1945,673
506061144,Serpentine - Jarrahdale,523,570,463,636,612,848,649,424,177
506031128,Parkwood - Ferndale - Lynwood,1779,1539,1842,2289,1914,1654,1717,1344,695
506031125,Canning Vale - West,1041,1593,1358,1168,1361,1613,1368,714,290
505011070,Craigie - Beldon,1731,1142,1482,2234,1474,1138,1053,742,282
507021167,O`Connor (WA),0,0,0,0,2,3,2,0,0
505031098,Alexander Heights - Koondoola,1514,1652,1718,1560,1503,1534,1455,862,356
405021117,Gilbert Valley,463,631,369,484,524,795,908,665,291
405021116,Clare,491,489,409,526,446,533,564,469,280
507011148,Banjup,3700,3540,3283,4413,3857,2793,1683,1014,440
506011117,Seville Grove,2191,1918,1662,2170,1720,1244,821,444,181
501011001,Augusta,879,820,370,895,1027,1020,1157,827,352
510031271,Ashburton (WA),1472,759,1035,1918,1255,1011,503,108,15
509021240,Merredin,630,614,616,618,534,645,690,503,294
602011042,Newstead,550,720,633,615,656,747,599,593,437
404021099,Largs Bay - Semaphore,1506,1446,1683,2121,1926,2422,2355,1304,609
501031019,Manjimup,669,726,563,630,633,764,795,530,286
502011025,Mandurah,945,949,1332,1259,1161,1492,1660,1457,847
601051027,Hobart,456,683,2529,1900,868,868,868,784,370
401061022,Walkerville,797,1010,1049,1010,997,1077,1017,866,597
511031283,Leinster - Leonora,494,482,1007,1028,795,740,510,133,36
507041177,Bicton - Palmyra,1787,1710,1810,2243,2100,2040,1738,1374,922
404031105,Fulham,309,427,296,302,382,417,369,227,310
507051191,Singleton - Golden Bay - Secret Harbour,3597,4409,3092,3407,3857,3352,1721,892,329
506021123,Victoria Park - Lathlain - Burswood,1592,1211,3738,3707,2337,1934,1758,960,406
505031256,Carabooda - Pinjar,79,116,89,80,94,114,118,52,22
509031248,Murray,311,314,202,305,287,412,336,231,89
404031108,Richmond (SA),1584,1535,3632,3220,2104,2175,1739,1074,853
404031107,Plympton,2739,2599,5283,5019,3316,2870,2334,1930,1619
510031272,Karratha,3334,2658,2526,3949,3009,2026,904,190,35
505011071,Currambine - Kinross,1719,2077,1872,1797,1832,2408,1675,829,363
506011111,Ashendon - Lesley,0,0,0,0,3,0,0,0,0
507011161,Success - Hammond Park,3122,2625,2919,3918,3221,1935,1232,588,321
507051190,Safety Bay - Shoalwater,1361,1444,1387,1480,1526,1639,1824,1346,877
602011049,Trevallyn,518,678,525,628,682,709,576,371,209
504031060,Gidgegannup,260,436,263,267,410,596,457,219,113
403041072,Aldinga,2003,2213,1744,2049,2046,2194,2006,1494,682
601021009,Mornington - Warrane,609,487,866,954,531,541,494,421,274
507031172,Hope Valley - Postans,0,6,12,12,9,10,13,15,3
407011147,Strathalbyn Surrounds,861,1076,666,837,993,1344,1364,985,250
505011079,Mullaloo - Kallaroo,1331,1802,1293,1325,1728,1757,1475,1200,485
603021071,Geeveston - Dover,396,446,366,413,465,643,793,585,191
601041025,Mount Wellington,0,0,0,0,0,0,0,0,0
507021166,Fremantle - South,1882,1645,1828,2445,2181,2206,1991,1479,884
506021120,Kewdale Commercial,0,0,0,0,0,0,0,0,0
505021093,Stirling - Osborne Park,1627,1472,2324,2785,2117,1828,1561,1283,717
505031107,Tapping - Ashby - Sinagra,1928,2200,1685,1966,2159,1888,1235,889,541
402041041,Para Hills,1753,1960,2034,2251,1984,1888,1657,1153,624
601011003,Old Beach - Otago,635,567,583,731,626,633,670,513,198
505031105,Mindarie - Quinns Rocks - Jindalee,2507,3464,2915,2581,3051,3955,2438,1316,675
505011076,Iluka - Burns Beach,1048,1761,1089,889,1531,2008,1455,623,181
406021141,Outback,152,136,314,291,226,330,339,148,46
505031303,Hocking - Pearsall,1998,1832,1770,2335,2004,1654,1346,970,346
403041075,Clarendon,255,345,263,221,367,460,487,332,94
407021150,Grant,593,788,602,749,847,1036,912,630,227
507041178,Booragoon,1706,2254,1841,1901,2318,2154,1965,1604,1005
602031100,Scottsdale - Bridport,684,856,619,728,711,949,1171,821,463
505011072,Duncraig,2132,2712,1310,1776,2589,2061,1817,1751,760
405041126,Wallaroo,411,411,301,357,437,654,995,828,351
506041134,Gosnells,3180,2790,3074,3192,3009,2588,2224,1670,1146
402011026,Gawler - South,2631,2809,2975,2919,2553,2912,2903,2126,1508
604011080,Romaine - Havenview,405,459,470,484,434,476,443,298,167
404031106,Lockleys,1476,1376,2031,2167,1734,1652,1581,1107,882
507031170,Calista,979,939,1017,1060,961,1049,799,508,393
402051055,St Agnes - Ridgehaven,1437,1458,1543,1773,1623,1649,1545,1449,923
507051313,Baldivis - South,4814,4812,3441,5059,4118,3025,1912,1231,484
403021064,Warradale,1933,1670,2661,2822,2113,1713,1765,1537,1001
506021309,Cloverdale,1144,974,1786,1855,1259,980,764,515,378
402021031,Elizabeth East,1982,1996,2014,2050,1631,1689,1475,948,622
407021157,Tatiara,774,908,851,872,824,975,880,620,362
506071145,Como,1423,1276,2953,2765,1904,1539,1541,1277,866
503021037,Kings Park (WA),0,0,7,0,0,5,18,10,10
505011082,Sorrento - Marmion,1065,1507,979,934,1358,1488,1514,1324,560
601031021,West Moonah,476,430,681,917,532,430,398,297,166
407031168,Renmark Surrounds,588,637,667,640,571,785,764,498,212
403021062,Morphettville,1916,1695,2648,2696,2080,1958,1900,1432,980
503011036,Swanbourne - Mount Claremont,1139,1707,1018,984,1252,1446,1104,922,591
509011233,McKail - Willyung,1553,1817,1398,1424,1456,1520,1395,1009,504
602031061,Northern Midlands,398,427,364,422,402,580,599,450,176
406021139,Coober Pedy,119,134,151,201,153,211,260,227,94
